,byVariable,estimate,outlet,ppgid,randomEffVariable,region
0,store32357.0,-0.7546401883700228,GR,115,(0 + logregprice) | store,US
158,store78341.0,0.0,GR,115,(0 + displayonly) | store,US
159,store78341.0,0.0,GR,115,(0 + featuredisplay) | store,US
160,store78341.0,0.0,GR,115,(0 + featureonly) | store,US
161,store78341.0,0.022952982255058863,GR,115,(0 + logseason) | store,US
162,store46990.0,-0.4317663575062886,GR,115,(0 + logregprice) | store,US
163,store46990.0,-0.9259702764341898,GR,115,(0 + logpriceindex) | store,US
164,store46990.0,-0.015601844513725746,GR,115,(0 + displayonly) | store,US
165,store46990.0,0.0,GR,115,(0 + featuredisplay) | store,US
166,store46990.0,0.07536537494187628,GR,115,(0 + featureonly) | store,US
167,store46990.0,0.14733062699532862,GR,115,(0 + logseason) | store,US
168,store79949.0,0.0,GR,115,(0 + logregprice) | store,US
169,store79949.0,0.0,GR,115,(0 + logpriceindex) | store,US
170,store79949.0,0.0,GR,115,(0 + displayonly) | store,US
171,store79949.0,0.0,GR,115,(0 + featuredisplay) | store,US
172,store79949.0,0.0,GR,115,(0 + featureonly) | store,US
173,store79949.0,0.0017385981584032543,GR,115,(0 + logseason) | store,US
174,store84648.0,0.12873457382955017,GR,115,(0 + logregprice) | store,US
175,store84648.0,-0.36272502516230903,GR,115,(0 + logpriceindex) | store,US
176,store84648.0,0.0,GR,115,(0 + displayonly) | store,US
177,store84648.0,0.0,GR,115,(0 + featuredisplay) | store,US
178,store84648.0,0.08834440177382145,GR,115,(0 + featureonly) | store,US
179,store84648.0,-0.013454279687411561,GR,115,(0 + logseason) | store,US
180,store102050.0,-0.4383801326230219,GR,115,(0 + logregprice) | store,US
181,store102050.0,0.0,GR,115,(0 + logpriceindex) | store,US
182,store102050.0,0.0,GR,115,(0 + displayonly) | store,US
183,store102050.0,0.0,GR,115,(0 + featuredisplay) | store,US
184,store102050.0,0.0,GR,115,(0 + featureonly) | store,US
185,store102050.0,-0.09513417663746677,GR,115,(0 + logseason) | store,US
186,store82250.0,0.0,GR,115,(0 + logregprice) | store,US
187,store82250.0,0.5638029086586918,GR,115,(0 + logpriceindex) | store,US
188,store82250.0,0.007828701723867307,GR,115,(0 + displayonly) | store,US
189,store82250.0,0.0,GR,115,(0 + featuredisplay) | store,US
190,store82250.0,0.0,GR,115,(0 + featureonly) | store,US
191,store82250.0,0.012725009665333673,GR,115,(0 + logseason) | store,US
192,store81447.0,0.6479495689037723,GR,115,(0 + logregprice) | store,US
193,store81447.0,-0.35197247986415003,GR,115,(0 + logpriceindex) | store,US
194,store81447.0,0.0,GR,115,(0 + displayonly) | store,US
195,store81447.0,0.0,GR,115,(0 + featuredisplay) | store,US
196,store81447.0,0.0,GR,115,(0 + featureonly) | store,US
197,store81447.0,0.025042441738012348,GR,115,(0 + logseason) | store,US
198,store74052.0,0.0,GR,115,(0 + logregprice) | store,US
199,store74052.0,-0.46141210251191883,GR,115,(0 + logpriceindex) | store,US
200,store74052.0,0.0,GR,115,(0 + displayonly) | store,US
201,store74052.0,0.0,GR,115,(0 + featuredisplay) | store,US
202,store74052.0,-0.18364488371797988,GR,115,(0 + featureonly) | store,US
203,store74052.0,0.0014526399797721767,GR,115,(0 + logseason) | store,US
204,store69420.0,0.0,GR,115,(0 + logregprice) | store,US
205,store69420.0,0.26681777068424267,GR,115,(0 + logpriceindex) | store,US
206,store69420.0,0.0,GR,115,(0 + displayonly) | store,US
207,store69420.0,0.0,GR,115,(0 + featuredisplay) | store,US
208,store69420.0,0.19694224946724206,GR,115,(0 + featureonly) | store,US
209,store69420.0,0.009084422972376105,GR,115,(0 + logseason) | store,US
210,store40256.0,0.9096801366302263,GR,115,(0 + logregprice) | store,US
211,store40256.0,0.9313061534882131,GR,115,(0 + logpriceindex) | store,US
212,store40256.0,0.08888603523822611,GR,115,(0 + displayonly) | store,US
213,store40256.0,0.0,GR,115,(0 + featuredisplay) | store,US
214,store40256.0,0.0,GR,115,(0 + featureonly) | store,US
215,store40256.0,0.020352541733900047,GR,115,(0 + logseason) | store,US
216,store61193.0,0.3700805623586311,GR,115,(0 + logregprice) | store,US
217,store61193.0,-0.16415327835901472,GR,115,(0 + logpriceindex) | store,US
218,store61193.0,0.0,GR,115,(0 + displayonly) | store,US
219,store61193.0,0.0,GR,115,(0 + featuredisplay) | store,US
220,store61193.0,0.0,GR,115,(0 + featureonly) | store,US
221,store61193.0,-0.15651717438603874,GR,115,(0 + logseason) | store,US
222,store42629.0,0.570966650993348,GR,115,(0 + logregprice) | store,US
223,store42629.0,-0.07439112405490567,GR,115,(0 + logpriceindex) | store,US
224,store42629.0,0.0,GR,115,(0 + displayonly) | store,US
225,store42629.0,0.0,GR,115,(0 + featuredisplay) | store,US
226,store42629.0,0.0,GR,115,(0 + featureonly) | store,US
227,store42629.0,0.008574282697069195,GR,115,(0 + logseason) | store,US
228,store46155.0,0.6530407549110642,GR,115,(0 + logregprice) | store,US
229,store46155.0,-0.47560300396560884,GR,115,(0 + logpriceindex) | store,US
230,store46155.0,0.0,GR,115,(0 + displayonly) | store,US
231,store46155.0,0.0,GR,115,(0 + featuredisplay) | store,US
232,store46155.0,-0.41650392465511343,GR,115,(0 + featureonly) | store,US
233,store46155.0,-0.08814736233133187,GR,115,(0 + logseason) | store,US
234,store46607.0,0.5689502418613377,GR,115,(0 + logregprice) | store,US
235,store46607.0,0.9723621725084816,GR,115,(0 + logpriceindex) | store,US
236,store46607.0,0.016067627827463304,GR,115,(0 + displayonly) | store,US
237,store46607.0,0.0,GR,115,(0 + featuredisplay) | store,US
238,store46607.0,-0.14496643532976944,GR,115,(0 + featureonly) | store,US
239,store46607.0,0.00948768687192346,GR,115,(0 + logseason) | store,US
240,store84690.0,0.0,GR,115,(0 + logregprice) | store,US
241,store84690.0,-0.7799890523063949,GR,115,(0 + logpriceindex) | store,US
242,store84690.0,0.0,GR,115,(0 + displayonly) | store,US
243,store84690.0,0.0,GR,115,(0 + featuredisplay) | store,US
244,store84690.0,0.3471181902101004,GR,115,(0 + featureonly) | store,US
245,store84690.0,-0.028922637868376313,GR,115,(0 + logseason) | store,US
246,store86239.0,0.0,GR,115,(0 + logregprice) | store,US
247,store86239.0,-0.931178324867092,GR,115,(0 + logpriceindex) | store,US
248,store86239.0,0.0,GR,115,(0 + displayonly) | store,US
249,store86239.0,0.0,GR,115,(0 + featuredisplay) | store,US
250,store86239.0,0.1576550755742195,GR,115,(0 + featureonly) | store,US
251,store86239.0,-0.07460849572286284,GR,115,(0 + logseason) | store,US
252,store57617.0,-1.4854069731043829,GR,115,(0 + logregprice) | store,US
253,store57617.0,0.0,GR,115,(0 + logpriceindex) | store,US
254,store57617.0,0.0,GR,115,(0 + displayonly) | store,US
255,store57617.0,0.0,GR,115,(0 + featuredisplay) | store,US
256,store57617.0,0.0,GR,115,(0 + featureonly) | store,US
257,store57617.0,0.10433534618627151,GR,115,(0 + logseason) | store,US
258,store42663.0,1.17934456899586,GR,115,(0 + logregprice) | store,US
259,store42663.0,0.09887379241583796,GR,115,(0 + logpriceindex) | store,US
260,store42663.0,0.0,GR,115,(0 + displayonly) | store,US
261,store42663.0,0.0,GR,115,(0 + featuredisplay) | store,US
262,store42663.0,0.0,GR,115,(0 + featureonly) | store,US
263,store42663.0,-0.03925408065704716,GR,115,(0 + logseason) | store,US
264,store49388.0,-1.5504142842641908,GR,115,(0 + logregprice) | store,US
265,store49388.0,0.0,GR,115,(0 + logpriceindex) | store,US
266,store49388.0,0.0,GR,115,(0 + displayonly) | store,US
267,store49388.0,0.0,GR,115,(0 + featuredisplay) | store,US
268,store49388.0,0.0,GR,115,(0 + featureonly) | store,US
269,store49388.0,0.007782566326777918,GR,115,(0 + logseason) | store,US
270,store81110.0,-0.15211796887861695,GR,115,(0 + logregprice) | store,US
271,store81110.0,0.07402690839838336,GR,115,(0 + logpriceindex) | store,US
272,store81110.0,0.0,GR,115,(0 + displayonly) | store,US
273,store81110.0,0.0,GR,115,(0 + featuredisplay) | store,US
274,store81110.0,-0.22135463886916817,GR,115,(0 + featureonly) | store,US
275,store81110.0,0.053789154678510274,GR,115,(0 + logseason) | store,US
276,store49365.0,0.45646816172606636,GR,115,(0 + logregprice) | store,US
277,store49365.0,0.0,GR,115,(0 + logpriceindex) | store,US
278,store49365.0,0.0,GR,115,(0 + displayonly) | store,US
279,store49365.0,0.0,GR,115,(0 + featuredisplay) | store,US
280,store49365.0,0.0,GR,115,(0 + featureonly) | store,US
281,store49365.0,0.010118309701627907,GR,115,(0 + logseason) | store,US
282,store81445.0,1.3412205141501707,GR,115,(0 + logregprice) | store,US
283,store81445.0,0.09321506472224568,GR,115,(0 + logpriceindex) | store,US
284,store81445.0,0.0,GR,115,(0 + displayonly) | store,US
285,store81445.0,0.0,GR,115,(0 + featuredisplay) | store,US
286,store81445.0,0.0,GR,115,(0 + featureonly) | store,US
287,store81445.0,-0.07429244095742922,GR,115,(0 + logseason) | store,US
288,store84626.0,0.0,GR,115,(0 + logregprice) | store,US
289,store84626.0,-1.4916112675019852,GR,115,(0 + logpriceindex) | store,US
290,store84626.0,0.0,GR,115,(0 + displayonly) | store,US
291,store84626.0,0.0,GR,115,(0 + featuredisplay) | store,US
292,store84626.0,0.3156237982412543,GR,115,(0 + featureonly) | store,US
293,store84626.0,-0.04909849031979564,GR,115,(0 + logseason) | store,US
294,store84643.0,-0.5268468261084679,GR,115,(0 + logregprice) | store,US
295,store84643.0,-0.7638566604119459,GR,115,(0 + logpriceindex) | store,US
296,store84643.0,0.0,GR,115,(0 + displayonly) | store,US
297,store84643.0,0.0,GR,115,(0 + featuredisplay) | store,US
298,store84643.0,0.7274020073165589,GR,115,(0 + featureonly) | store,US
299,store84643.0,0.04964804739522755,GR,115,(0 + logseason) | store,US
300,store46643.0,0.3660008454506877,GR,115,(0 + logregprice) | store,US
301,store46643.0,-0.03941108868359793,GR,115,(0 + logpriceindex) | store,US
302,store46643.0,0.0,GR,115,(0 + displayonly) | store,US
303,store46643.0,0.0,GR,115,(0 + featuredisplay) | store,US
304,store46643.0,0.03453216166297412,GR,115,(0 + featureonly) | store,US
305,store46643.0,-0.05012500393425691,GR,115,(0 + logseason) | store,US
306,store49324.0,-2.15201044410538,GR,115,(0 + logregprice) | store,US
307,store49324.0,0.0,GR,115,(0 + logpriceindex) | store,US
308,store49324.0,0.0,GR,115,(0 + displayonly) | store,US
309,store49324.0,0.0,GR,115,(0 + featuredisplay) | store,US
310,store49324.0,0.0,GR,115,(0 + featureonly) | store,US
311,store49324.0,0.0799558701736094,GR,115,(0 + logseason) | store,US
312,store88447.0,0.0,GR,115,(0 + logregprice) | store,US
313,store88447.0,0.36399032123220854,GR,115,(0 + logpriceindex) | store,US
314,store88447.0,0.0,GR,115,(0 + displayonly) | store,US
315,store88447.0,0.0,GR,115,(0 + featuredisplay) | store,US
316,store88447.0,0.0,GR,115,(0 + featureonly) | store,US
317,store88447.0,-0.09111554050671981,GR,115,(0 + logseason) | store,US
318,store88481.0,0.0,GR,115,(0 + logregprice) | store,US
319,store88481.0,0.6944959070697176,GR,115,(0 + logpriceindex) | store,US
320,store88481.0,0.0,GR,115,(0 + displayonly) | store,US
321,store88481.0,0.0,GR,115,(0 + featuredisplay) | store,US
322,store88481.0,0.0,GR,115,(0 + featureonly) | store,US
323,store88481.0,-0.05029464345603375,GR,115,(0 + logseason) | store,US
324,store33430.0,-0.7940718401056718,GR,115,(0 + logregprice) | store,US
325,store33430.0,-0.17678332301564656,GR,115,(0 + logpriceindex) | store,US
326,store33430.0,0.002211289531013896,GR,115,(0 + displayonly) | store,US
327,store33430.0,0.0,GR,115,(0 + featuredisplay) | store,US
328,store33430.0,0.0,GR,115,(0 + featureonly) | store,US
329,store33430.0,0.07625709718616583,GR,115,(0 + logseason) | store,US
330,store57653.0,-3.1460264721691953,GR,115,(0 + logregprice) | store,US
331,store57653.0,0.0,GR,115,(0 + logpriceindex) | store,US
332,store57653.0,0.0,GR,115,(0 + displayonly) | store,US
333,store57653.0,0.0,GR,115,(0 + featuredisplay) | store,US
334,store57653.0,0.0,GR,115,(0 + featureonly) | store,US
335,store57653.0,-0.30154467280448005,GR,115,(0 + logseason) | store,US
336,store32314.0,1.4752775291576334,GR,115,(0 + logregprice) | store,US
337,store32314.0,-0.09552147544075103,GR,115,(0 + logpriceindex) | store,US
338,store32314.0,0.0,GR,115,(0 + displayonly) | store,US
339,store32314.0,0.0,GR,115,(0 + featuredisplay) | store,US
340,store32314.0,0.0,GR,115,(0 + featureonly) | store,US
341,store32314.0,0.17557820342754157,GR,115,(0 + logseason) | store,US
342,store42687.0,0.0,GR,115,(0 + logregprice) | store,US
343,store42687.0,0.0,GR,115,(0 + logpriceindex) | store,US
344,store42687.0,0.0,GR,115,(0 + displayonly) | store,US
345,store42687.0,0.0,GR,115,(0 + featuredisplay) | store,US
346,store42687.0,0.0,GR,115,(0 + featureonly) | store,US
347,store42687.0,-0.007476617950878312,GR,115,(0 + logseason) | store,US
348,store46132.0,-1.275272882553506,GR,115,(0 + logregprice) | store,US
349,store46132.0,0.36084511627206234,GR,115,(0 + logpriceindex) | store,US
350,store46132.0,0.0,GR,115,(0 + displayonly) | store,US
351,store46132.0,0.0,GR,115,(0 + featuredisplay) | store,US
352,store46132.0,-0.08445978071628409,GR,115,(0 + featureonly) | store,US
353,store46132.0,-0.028550952789971946,GR,115,(0 + logseason) | store,US
354,store46932.0,-0.7662744639264898,GR,115,(0 + logregprice) | store,US
355,store46932.0,-1.5056770969199316,GR,115,(0 + logpriceindex) | store,US
356,store46932.0,-0.012514671368707963,GR,115,(0 + displayonly) | store,US
357,store46932.0,0.0,GR,115,(0 + featuredisplay) | store,US
358,store46932.0,0.22122690632466244,GR,115,(0 + featureonly) | store,US
359,store46932.0,0.046778620128736216,GR,115,(0 + logseason) | store,US
360,store102009.0,0.0,GR,115,(0 + logregprice) | store,US
361,store102009.0,-1.4150678826203125,GR,115,(0 + logpriceindex) | store,US
362,store102009.0,0.09566526343200245,GR,115,(0 + displayonly) | store,US
363,store102009.0,0.0,GR,115,(0 + featuredisplay) | store,US
364,store102009.0,0.6552146312942486,GR,115,(0 + featureonly) | store,US
365,store102009.0,-0.027768955511216935,GR,115,(0 + logseason) | store,US
366,store48008.0,0.007540950074611786,GR,115,(0 + logregprice) | store,US
367,store48008.0,-0.21565434226603183,GR,115,(0 + logpriceindex) | store,US
368,store48008.0,0.029895371168703787,GR,115,(0 + displayonly) | store,US
369,store48008.0,0.0,GR,115,(0 + featuredisplay) | store,US
370,store48008.0,-0.5123375326921571,GR,115,(0 + featureonly) | store,US
371,store48008.0,-0.001002413670315973,GR,115,(0 + logseason) | store,US
372,store42658.0,-0.0014131317586619303,GR,115,(0 + logregprice) | store,US
373,store42658.0,0.5540402959787604,GR,115,(0 + logpriceindex) | store,US
374,store42658.0,0.0,GR,115,(0 + displayonly) | store,US
375,store42658.0,0.0,GR,115,(0 + featuredisplay) | store,US
376,store42658.0,0.0,GR,115,(0 + featureonly) | store,US
377,store42658.0,0.0033268995927555407,GR,115,(0 + logseason) | store,US
378,store56830.0,-0.3854312601482413,GR,115,(0 + logregprice) | store,US
379,store56830.0,0.8994587924503346,GR,115,(0 + logpriceindex) | store,US
380,store56830.0,0.0,GR,115,(0 + displayonly) | store,US
381,store56830.0,0.0,GR,115,(0 + featuredisplay) | store,US
382,store56830.0,0.0,GR,115,(0 + featureonly) | store,US
383,store56830.0,0.0467549312180685,GR,115,(0 + logseason) | store,US
384,store69405.0,-0.48814375317481207,GR,115,(0 + logregprice) | store,US
385,store69405.0,-0.40202966964504655,GR,115,(0 + logpriceindex) | store,US
386,store69405.0,0.0,GR,115,(0 + displayonly) | store,US
387,store69405.0,0.0,GR,115,(0 + featuredisplay) | store,US
388,store69405.0,-0.09048239019301457,GR,115,(0 + featureonly) | store,US
389,store69405.0,0.007266065538868041,GR,115,(0 + logseason) | store,US
390,store42634.0,0.04499552236920747,GR,115,(0 + logregprice) | store,US
391,store42634.0,0.0,GR,115,(0 + logpriceindex) | store,US
392,store42634.0,0.0,GR,115,(0 + displayonly) | store,US
393,store42634.0,0.0,GR,115,(0 + featuredisplay) | store,US
394,store42634.0,0.0,GR,115,(0 + featureonly) | store,US
395,store42634.0,0.018372492375402664,GR,115,(0 + logseason) | store,US
396,store72517.0,1.5326922329178778,GR,115,(0 + logregprice) | store,US
397,store72517.0,0.04541310690435211,GR,115,(0 + logpriceindex) | store,US
398,store72517.0,0.0,GR,115,(0 + displayonly) | store,US
399,store72517.0,0.0,GR,115,(0 + featuredisplay) | store,US
400,store72517.0,0.0,GR,115,(0 + featureonly) | store,US
401,store72517.0,0.0339222842937085,GR,115,(0 + logseason) | store,US
402,store100938.0,0.0,GR,115,(0 + logregprice) | store,US
403,store100938.0,0.0,GR,115,(0 + logpriceindex) | store,US
404,store100938.0,0.0,GR,115,(0 + displayonly) | store,US
